title,description,tags,link_primary,image_url,subcategory
Skill Leap AI,AI tutorials and news,"[Education]",https://www.youtube.com/@SkillLeapAI,https://yt3.googleusercontent.com/ytc/APEZ-O8q_jS_,"[Education]"
Creator Magic AI,AI for creators,"[Creative]",https://www.youtube.com/@CreatorMagicAI,,"[Creative]"
Cole Medin,AI coding and tools,"[Dev]",https://www.youtube.com/@ColeMedin,,"[Coding]"
code4AI,Coding with AI,"[Dev]",https://www.youtube.com/@code4AI,,"[Coding]"
Julian Goldie SEO,AI for SEO,"[Marketing]",https://www.youtube.com/@JulianGoldieSEO,,"[Marketing]"
Futurepedia,AI tools reviews,"[Reviews]",https://www.youtube.com/@futurepedia_io,,"[Reviews]"
IBM Technology,Enterprise AI,"[Tech]",https://www.youtube.com/@IBMTechnology,,"[Tech]"
OpenAI,Official OpenAI channel,"[Tech]",https://www.youtube.com/@OpenAI,,"[Tech]"
NVIDIA,AI Hardware and Research,"[Tech]",https://www.youtube.com/@NVIDIA,,"[Tech]"
Google DeepMind,AI Research,"[Research]",https://www.youtube.com/@googledeepmind,,"[Research]"
Google,Google AI updates,"[Tech]",https://www.youtube.com/@Google,,"[Tech]"
Anthropic AI,Safe AI research,"[Research]",https://www.youtube.com/@anthropic-ai,,"[Research]"
The AI Grid,AI News (Archived),"[News]",https://www.youtube.com/@TheAiGrid,,"[News]"
